name,country_code,country_name,latitude,longitude
Boven Bolivia,BQ,"Bonaire, Sint Eustatius and Saba",12.1819,-68.2181
Dorp Tera Kora,BQ,"Bonaire, Sint Eustatius and Saba",12.13333,-68.26667
Oranjestad,BQ,"Bonaire, Sint Eustatius and Saba",17.48333333,-62.98333333
Rincon,BQ,"Bonaire, Sint Eustatius and Saba",12.23833333,-68.3325
St. Johns,BQ,"Bonaire, Sint Eustatius and Saba",17.6210075,-63.2431683
The Bottom,BQ,"Bonaire, Sint Eustatius and Saba",17.62611111,-63.24916667
Windwardside,BQ,"Bonaire, Sint Eustatius and Saba",17.62864,-63.23136
Zion's Hill,BQ,"Bonaire, Sint Eustatius and Saba",17.643,-63.22649
